id,workitem_type,estimate,words,rel,sprint,assigned_to,new,doing,done,actual_work
1253185,Story,9.0,"apo,cache,creating,gui,make,management,operations,performant,ruleset,than",,17,navarrj,2016-02-24 07:33:26.437,2016-08-19 08:07:58.117,2016-10-05 03:09:08.163,46
1254429,Bug,,"builds,functionality,offer,previous,search,this,was,working",,4,delossj,2016-02-26 03:45:37.687,2016-02-26 03:57:32.727,2016-02-26 10:22:03.970,0
1254621,Issue,,"apo,different,given,requested,response,support,test,tool,type,value",,,vitalim,2016-02-26 07:48:33.040,2016-02-29 05:52:58.950,2016-02-29 14:33:08.450,0
1255676,Issue,,"inquiry,maximumdiscountpercentage,maximumsurchargepercentage,regarding",,,delossj,2016-02-29 06:19:43.207,2016-02-29 07:27:45.230,2016-02-29 14:40:19.123,0
1260650,Story,23.0,"apo,automation,gui",,27,tungald,2016-03-04 09:15:56.060,2017-01-05 09:24:19.517,2017-01-13 06:57:52.457,7
1261383,Issue,,"even,meet,optimized,parameters,prices,qualification,ruleset,show,still",,,delossj,2016-03-07 06:13:58.550,2016-03-07 07:56:37.083,2016-03-08 08:30:28.337,1
1267573,Story,,"allowed,analytics,delete,domain,gui,management,non,protected,rules,rulesets,support,sys,user",,6,navarrj,2016-03-14 02:24:00.523,2016-03-14 02:24:27.803,2016-03-14 03:21:41.930,0
1268887,Bug,,"available,dropdown,inactive,list,offer,products",,20,limmari,2016-03-15 00:18:38.717,2016-09-05 06:31:56.757,2016-10-04 07:28:47.497,29
1268927,Bug,,"available,inactive,list,offer,products,rulesets",,20,limmari,2016-03-15 00:40:03.200,2016-09-05 06:50:48.987,2016-10-04 07:28:48.107,29
1269119,Bug,,"cannot,derivedinputparameters,set,systemcontrolled,true,user",,6,delossj,2016-03-15 02:41:10.220,2016-03-15 05:43:44.070,2016-03-16 02:19:17.563,0
1269126,Bug,,"able,clear,derivedinputparameters,even,set,systemcontrolled,though,true,user",,6,delossj,2016-03-15 02:47:11.107,2016-03-15 05:43:30.237,2016-03-15 20:54:26.827,0
1270555,Bug,,"apo,backslash,config,def,have,help,information,local,user,username",,6,delossj,2016-03-15 23:29:09.170,2016-03-16 02:55:11.723,2016-03-16 06:01:24.060,0
1270978,Bug,,"action,elseaction,included,list,match,qualification,rules",,6,navarrj,2016-03-16 10:13:57.793,2016-03-17 02:21:52.407,2016-03-17 02:41:53.980,0
1271626,Bug,,"apo,display,duplicate,geography,locationcodes,view",,6,delossj,2016-03-17 09:07:32.193,2016-03-17 09:57:11.537,2016-03-17 10:00:50.953,0
1272019,Bug,,"apo,help,output,pricing,request,return,sample,templates",,6,vitalim,2016-03-18 01:45:05.317,2016-03-18 10:44:55.617,2016-03-18 10:45:23.483,0
1272098,Bug,,"active,after,already,appears,editing,inactive,message,now,offer,pressing,start,still,stop,this",,20,limmari,2016-03-18 03:26:58.817,2016-09-05 07:04:39.967,2016-10-07 10:12:03.640,32
1272233,Bug,,"canned,offer,pricing,qualification,returned,ruleset,seeded,setup",,6,navarrj,2016-03-18 07:01:19.037,2016-03-21 02:22:56.333,2016-03-21 02:30:46.157,0
1272266,Bug,,"action,executeaction,format,rule,setspecificity,this,work",,6,delossj,2016-03-18 07:59:38.960,2016-03-18 11:07:57.913,2016-03-18 11:10:04.787,0
1272291,Bug,,"correct,load,scripts",,6,navarrj,2016-03-18 08:32:39.260,2016-03-18 21:58:19.780,2016-03-21 02:30:46.157,2
1294582,Bug,,"accepts,beginsalesdate,endsalesdate,later,offer,than,versa,vice,where",,9,delossj,2016-04-19 08:58:10.130,2016-04-20 03:25:03.010,2016-05-04 03:05:23.453,13
1301344,Story,81.0,"gen,logging,next,reflections,treatment",,27,vitalim,2016-04-28 12:02:38.263,2016-12-28 03:57:37.640,2017-01-19 09:22:31.683,22
1302042,Bug,,"before,book,cached,data,look,product,through,went",,9,delossj,2016-04-29 06:41:58.277,2016-05-02 01:24:18.337,2016-05-03 04:15:36.810,1
1307153,Issue,,"analytics,aponvol01,command,database,failed,insertcachedoffers,integrated,nvlcmdq100,security,server,true",,,delossj,2016-05-05 09:00:57.230,2016-05-05 23:24:40.780,2016-05-10 02:11:48.677,4
1309784,Bug,,"analytics,aponvol01,command,database,failed,insertcachedoffers,integrated,nvlcmdq100,security,server,true",,10,delossj,2016-05-10 02:15:15.870,2016-05-10 06:04:43.137,2016-05-10 06:12:41.677,0
1313927,Bug,,"currency,generate,grid,paste,product,sequence,sorted,upon",,10,vitalim,2016-05-13 03:10:31.667,2016-05-18 04:02:28.087,2016-05-18 06:47:08.190,0
1317369,Issue,,"data,error,grid,intermittent,occurs,parsing,pasting,selection,value",,,vitalim,2016-05-17 07:59:33.320,2016-05-17 11:55:19.067,2016-05-18 02:44:07.333,0
